Joel,Embiid,C,PHI,66,34.6,0.548,0.857,1,10.2,4.2,1,1.7,3.4,33.1,47607350
Luka,Doncic,PG,DAL,66,36.2,0.496,0.742,2.8,8.6,8,1.4,0.5,3.6,32.4,40064220
Damian,Lillard,PG,MIL,58,36.3,0.463,0.914,4.2,4.8,7.3,0.9,0.3,3.3,32.2,45640084
Shai,Gilgeous-Alexander,PG,OKC,68,35.5,0.51,0.905,0.9,4.8,5.5,1.6,1,2.8,31.4,33386850
Giannis,Antetokounmpo,PF,MIL,63,32.1,0.553,0.645,0.7,11.8,5.7,0.8,0.8,3.9,31.1,45640084
Jayson,Tatum,SF,BOS,74,36.9,0.466,0.854,3.2,8.8,4.6,1.1,0.7,2.9,30.1,32600060
Stephen,Curry,PG,GSW,56,34.7,0.493,0.915,4.9,6.1,6.3,0.9,0.4,3.2,29.4,51915615
Kevin,Durant,PF,PHO,47,35.6,0.56,0.919,2,6.7,5,0.7,1.4,3.3,29.1,47649433
LeBron,James,SF,LAL,55,35.5,0.5,0.768,2.2,8.3,6.8,0.9,0.6,3.2,28.9,47607350
Donovan,Mitchell,SG,CLE,68,35.8,0.484,0.867,3.6,4.3,4.4,1.5,0.4,2.6,28.3,33162030
Devin,Booker,SG,PHO,53,34.6,0.494,0.855,2.1,4.5,5.5,1,0.3,2.7,27.8,36016200
Kyrie,Irving,PG,DAL,60,37.4,0.494,0.905,3.1,5.1,5.5,1.1,0.8,2.1,27.1,37037037
Jaylen,Brown,SG,BOS,67,35.9,0.491,0.765,2.4,6.9,3.5,1.1,0.4,2.9,26.6,31830357
Trae,Young,PG,ATL,73,34.8,0.43,0.886,2.1,3,10.2,1.1,0.1,4.1,26.2,40064220
Ja,Morant,PG,MEM,61,31.9,0.466,0.748,1.5,5.9,8.1,1.1,0.3,3.4,26.2,34005250
Zion,Williamson,PF,NOR,29,33,0.608,0.714,0.2,7,4.6,1.1,0.6,3.4,26,34005250
Anthony,Davis,PF,LAL,56,34,0.563,0.784,0.3,12.5,2.6,1.1,2,2.2,25.9,40600080
Lauri,Markkanen,PF,UTH,66,34.4,0.499,0.875,3,8.6,1.9,0.6,0.6,1.9,25.6,17259999
Julius,Randle,PF,NYK,77,35.5,0.46,0.757,2.8,10,4.1,0.6,0.3,2.8,25.1,28226880
De'Aaron,Fox,PG,SAC,73,33.4,0.512,0.78,1.6,4.2,6.1,1.1,0.3,2.5,25,32600060
Zach,LaVine,SG,CHI,77,35.9,0.485,0.848,2.6,4.5,4.2,0.9,0.2,2.5,24.8,40064220
Brandon,Ingram,SF,NOR,45,34.2,0.484,0.882,1.4,5.5,5.8,0.7,0.4,3.3,24.7,33833400
Anthony,Edwards,SG,MIN,79,36,0.459,0.756,2.7,5.8,4.4,1.6,0.7,3.3,24.6,13534817
DeMar,DeRozan,SF,CHI,74,36.2,0.504,0.872,0.6,4.6,5.1,1.1,0.5,2.1,24.5,28600000
Nikola,Jokic,C,DEN,69,33.7,0.632,0.822,0.8,11.8,9.8,1.3,0.7,3.6,24.5,47607350
Pascal,Siakam,PF,TOR,71,37.4,0.48,0.774,1.3,7.8,5.8,0.9,0.5,2.4,24.2,37893408
Jalen,Brunson,PG,NYK,68,35,0.491,0.829,2,3.5,6.2,0.9,0.2,2.1,24,26346666
Kawhi,Leonard,SF,LAC,52,33.6,0.512,0.871,2,6.5,3.9,1.4,0.5,1.7,23.8,45640084
Paul,George,F,LAC,56,34.6,0.457,0.871,2.8,6.1,5.1,1.5,0.4,3.1,23.8,45640084
LaMelo,Ball,PG,CHA,36,35.2,0.411,0.843,4,6.4,8.4,1.3,0.3,3.6,23.3,10900635
Bradley,Beal,SG,PHO,50,33.5,0.506,0.842,1.6,3.9,5.4,0.9,0.7,2.9,23.2,46741590
Kristaps,Porzingis,C,BOS,65,32.6,0.498,0.851,2.1,8.4,2.7,0.9,1.5,2.1,23.2,36016200
Jimmy,Butler,SF,MIA,64,33.4,0.539,0.85,0.6,5.9,5.3,1.8,0.3,1.6,22.9,45183960
Jalen,Green,SG,HOU,76,34.2,0.417,0.786,2.5,3.7,3.7,0.8,0.2,2.6,22.1,9891480
Keldon,Johnson,SF,SAS,63,32.7,0.452,0.749,2.1,5,2.9,0.7,0.2,2.1,22,20000000
Klay,Thompson,SG,GSW,69,33,0.436,0.879,4.4,4.1,2.4,0.7,0.4,1.8,21.9,43219440
Darius,Garland,PG,CLE,69,35.5,0.462,0.863,2.4,2.7,7.8,1.2,0.1,2.9,21.6,34005250
